Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
7635.22,6047.43,80204.38,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),For web server,Amazon EC2 ,1706.448,320,5546.45,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (t3.large), Pricing strategy ( 1 Year  All upfront), Enable monitoring (disabled), EBS Storage amount (1000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),For application server,Amazon EC2 ,5928.768,1440,23208.77,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (m4.large), Pricing strategy (EC2 Instance Savings Plans 3 Year  All upfront), Enable monitoring (disabled), EBS Storage amount (3000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),For web server,Application Load Balancer,0,250.03,3000.36,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,257.85,3094.2,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,167.96,2015.52,USD,,Data transfer out to internet (1976 GB per month)
My Estimate,US East (N. Virginia),,Amazon Route 53,0,125.5,1506,USD,,"Hosted Zones (1), Basic Checks Within AWS (300)"
My Estimate,US East (N. Virginia),,S3 Standard,0,690,8280,USD,,S3 Standard storage (30000 GB per month)
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,1591.6,19099.2,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (2000 GB), Quantity (2), Instance type (db.m1.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),For application server,Application Load Balancer,0,1184.43,14213.16,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),For rarely access data,S3 Glacier Deep Archive,0,20.06,240.72,USD,,"S3 Glacier Deep Archive Average Object Size (16 MB), S3 Glacier Deep Archive storage (20000 GB per month)"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
,,,,,,,,,
,,,To reduce cost:,,,,,,
,,,- Buy upfront EC2 instances for all instances 1 year, reduce storage amount of web server from 3000GB to 1000GB,,,,,,
,,,- Separate partial data storage in S3 and move to S3 Glacier,,,,,,
,,,- Reduce storage amount of RDS from 3000 to 2000 GB,,,,,,
